,0
1518,reports
1519,behaviors
1520,remain
1521,scant
1522,dns
1523,eth
1524,ceo
1525,located
1526,communication
1527,gogominer
1528,space
1529,reached
1530,evidence
1531,whether
1532,groups
1533,adult
1534,dating
1535,colleges
1536,face
1537,unprecedented
1538,issues
1539,having
1540,students
1541,home
1542,courses
1543,online
1544,coronavirus
1545,pandemic
1546,targeted
1547,healthcare
1548,education
1549,targeting
1550,canadian
1551,medical
1552,schools
1553,zoom
1554,bombing
1555,hijack
1556,online
1557,classes
1558,zoom
1559,spew
1560,hateful
1561,messages
1562,videos
1563,targeted
1564,pandemic
1565,forced
1566,move
1567,coursework
1568,online
1569,involving
1570,targeting
1571,australia
1572,canada
1573,hong
1574,kong
1575,switzerland
1576,kingdom
1577,states
1578,bent
1579,lifting
1580,students
1581,heading
1582,school
1583,iranian
1584,cyberattackers
1585,collectively
1586,cobalt
1587,dickens
1588,silent
1589,librarian
1590,spear
1591,hiv
1592,results
1593,purporting
1594,hiv
1595,results
1596,reality
1597,koadic
1598,spear
1599,emails
1600,scare
1601,convince
1602,microsoft
1603,excel
1604,hiv
1605,results
1606,involving
1607,emails
1608,claiming
1609,vanderbilt
1610,medical
1611,center
1612,medical
1613,complex
1614,nashville
1615,tenn
1616,emails
1617,slew
1618,unnamed
1619,companies
1620,insurance
1621,healthcare
1622,pharmaceutical
1623,firms
1624,embedded
1625,emails
1626,koadic
1627,run
1628,programs
1629,healthcare
1630,concerns
1631,change
1632,diet
1633,medication
1634,lead
1635,fall
1636,regularly
1637,purported
1638,evokes
1639,emotional
1640,particularly
1641,tricking
1642,received
1643,email
1644,purporting
1645,vanderbit
1646,sic
1647,medical
1648,line
1649,result
1650,medical
1651,analysis
1652,body
1653,email
1654,encourages
1655,microsoft
1656,excel
1657,titled
1658,testresults
1659,xlsb
1660,claiming
1661,hiv
1662,results
1663,attackonce
1664,opens
1665,excel
1666,opens
1667,prompts
1668,enable
1669,macros
1670,koadic
1671,koadic
1672,exploitation
1673,trojan
1674,originally
1675,koadic
1676,intended
1677,defenders
1678,complete
1679,variety
1680,nation
1681,chinese
1682,russian
1683,sponsored
1684,groups
1685,iran
1686,china
1687,stone
1688,panda
1689,koadic
1690,chessmaster
1691,japan
1692,fancy
1693,bear
1694,koadic
1695,zebrocy
1696,sherrod
1697,degrippo
1698,emails
1699,targeted
1700,terms
1701,individual
1702,focused
1703,terms
1704,targeting
1705,insight
1706,medical
1707,history
1708,targeted
1709,reason
1710,hiv
1711,status
1712,whether
1713,patients
1714,vanderbilt
1715,misspelled
1716,vanderbit
1717,regularly
1718,observe
1719,medical
1720,scenarios
1721,sense
1722,urgency
1723,social
1724,engineering
1725,fear
1726,targeted
1727,message
1728,concern
1729,safety
1730,tested
1731,curiosity
1732,haven
1733,tested
1734,spear
1735,reflection
1736,continuing
1737,innovative
1738,convince
1739,tapping
1740,panic
1741,coronavirus
1742,spear
1743,emails
1744,mention
1745,virus
1746,beyond
1747,anything
1748,taxes
1749,estate
1750,decoys
1751,hivresearchers
1752,typically
1753,safely
1754,transmitted
1755,secured
1756,messaging
1757,portals
1758,phone
1759,receive
1760,emails
1761,claiming
1762,medical
1763,patient
1764,directly
1765,doctor
1766,email
1767,serves
1768,reminder
1769,didn
1770,start
1771,won
1772,stop
1773,coronavirus
1774,constant
1775,recognize
1776,utility
1777,scare
1778,encourage
1779,treat
1780,emails
1781,caution
1782,claim
1783,puerto
1784,rico
1785,gov
1786,scam
1787,puerto
1788,rico
1789,scam
1790,scam
1791,targeted
1792,puerto
1793,rico
1794,industrial
1795,company
1796,scam
1797,swindled
1798,puerto
1799,rico
1800,government
